id,type,prop_siteid,prop_title,prop_state,latitude,longitude,geometry_type,geometry_coordinates_raw,prop_description,prop_elevation,prop_elevationUnits,prop_install,prop_program,prop_responsibility,prop_type,prop_url,Nearest_City_1,Distance_City_1_mi,Nearest_City_2,Distance_City_2_mi,county_name,county_state,county_fips
17,Feature,bfgi,Boise Fairgrounds Weather Station,ID,43.65303,-116.27417,Point,"[-116.27417, 43.65303]",Boise Fairgrounds Weather Station,800.0,m,8/15/2013,agrimet,pnro,agrimet,bfgida.html,"Garden City, ID",0.81,"Boise, ID",3.9,Ada,ID,16001
19,Feature,bkvo,"Baker Valley, Oregon Agrimet Weather Station",OR,44.88277,-117.96277,Point,"[-117.96277, 44.88277]","Baker Valley, Oregon Agrimet Weather Station",1042.42,m,5/10/2001,agrimet,pnro,agrimet,bkvoda.html,"Haines, OR",0.72,"Baker City, OR",9.68,Baker,OR,41001
23,Feature,bndw,"Bonneville Dam AgriMet, Washington AgriMet Weather Station",WA,45.647538,-121.931072,Point,"[-121.931072, 45.647538]","Bonneville Dam AgriMet, Washington AgriMet Weather Station",24.38,m,4/13/2002,agrimet,pnro,agrimet,bndwda.html,"North Bonneville, WA",2.24,"Cascade Locks, OR",2.88,Skamania,WA,53059
24,Feature,boii,"Boise, Idaho AgriMet Weather Station",ID,43.600388,-116.176871,Point,"[-116.176871, 43.600388]","Boise, Idaho AgriMet Weather Station",829.06,m,7/26/1995,agrimet,pnro,agrimet,boiida.html,"Boise, ID",1.57,"Boise, ID",2.22,Ada,ID,16001
27,Feature,brdo,"Boardman, Oregon AgriMet Weather Station",OR,45.7513245,-119.9230798,Point,"[-119.9230798, 45.7513245]","Boardman, Oregon AgriMet Weather Station",587.0,,4/4/2024,agrimet,pnro,agrimet,brdoda.html,"Boardman, OR",11.1,"Mikkalo, OR",13.6,Morrow,OR,41049
31,Feature,brko,"Brookings, Oregon AgriMet Weather Station",OR,42.0300059,-124.240385,Point,"[-124.240385, 42.0300059]","Brookings, Oregon AgriMet Weather Station",24.38,m,9/28/1999,agrimet,pnro,agrimet,brkoda.html,"Brookings, OR",2.75,"Smith River, CA",7.54,Curry,OR,41015
35,Feature,CATO,"Catlow Valley, OR AgriMet Weather Station",OR,42.663611,-119.108301,Point,"[-119.108301, 42.663611]","Catlow Valley, OR AgriMet Weather Station",4553.0,,12/28/2023,agrimet,pnro,agrimet,CATOda.html,"Frenchglen, OR",14.99,"Diamond, OR",32.97,Harney,OR,41025
37,Feature,cbro,"Coburg, Oregon Weather Station",OR,44.1518527,-123.0606243,Point,"[-123.0606243, 44.1518527]","Coburg, Oregon Weather Station",116.0,,2/23/2024,agrimet,pnro,agrimet,cbroda.html,"Eugene, OR",5.49,"Springfield, OR",6.68,Lane,OR,41039
39,Feature,cedc,"Cedarville, California AgriMet Weather Station",CA,41.585364,-120.171876,Point,"[-120.171876, 41.585364]","Cedarville, California AgriMet Weather Station",1402.08,m,4/24/1985,agrimet,pnro,agrimet,cedcda.html,"Lake City, CA",5.78,"Cedarville, CA",7.69,Modoc,CA,06049
42,Feature,chvo,"Christmas Valley, Oregon AgriMet Weather Station",OR,43.245127,-120.7275,Point,"[-120.7275, 43.245127]","Christmas Valley, Oregon AgriMet Weather Station",1312.16,m,4/22/1985,agrimet,pnro,agrimet,chvoda.html,"Silver Lake, OR",2.79,"Christmas Valley, OR",4.64,Lake,OR,41037
