datetime,AVG_TMP
2017-05-08,55.68
2017-05-09,58.07
2017-05-10,58.23
2017-05-11,52.44
2017-05-12,48.44
2017-05-13,48.54
2017-05-14,52.62
2017-05-15,50.73
2017-05-16,52.46
2017-05-17,53.89
2017-05-18,54.44
2017-05-19,61.4
2017-05-20,58.19
2017-05-21,66.17
2017-05-22,73.36
2017-05-23,70.11
2017-05-24,55.22
2017-05-25,58.26
2017-05-26,64.38
2017-05-27,67.47
2017-05-28,63.15
2017-05-29,60.61
2017-05-30,57.03
2017-05-31,61.4
2017-06-01,62.16
2017-06-02,63.86
2017-06-03,59.5
2017-06-04,58.62
2017-06-05,60.6
2017-06-06,63.54
2017-06-07,61.3
2017-06-08,57.4
2017-06-09,54.7
2017-06-10,54.32
2017-06-11,57.79
2017-06-12,56.82
2017-06-13,57.56
2017-06-14,58.39
2017-06-15,58.27
2017-06-16,60.11
2017-06-17,63.93
2017-06-18,68.61
2017-06-19,72.98
2017-06-20,66.53
2017-06-21,62.4
2017-06-22,67.22
2017-06-23,75.11
2017-06-24,81.92
2017-06-25,76.0
2017-06-26,65.6
2017-06-27,66.18
2017-06-28,61.25
2017-06-29,64.76
2017-06-30,66.04
2017-07-01,65.56
2017-07-02,67.53
2017-07-03,66.24
2017-07-04,68.87
2017-07-05,72.2
2017-07-06,67.68
2017-07-07,63.22
2017-07-08,69.88
2017-07-09,68.1
2017-07-10,69.32
2017-07-11,66.2
2017-07-12,66.72
2017-07-13,64.1
2017-07-14,68.18
2017-07-15,65.4
2017-07-16,61.74
2017-07-17,67.64
2017-07-18,65.89
2017-07-19,63.58
2017-07-20,64.9
2017-07-21,65.8
2017-07-22,72.5
2017-07-23,74.44
2017-07-24,71.22
2017-07-25,71.28
2017-07-26,71.56
2017-07-27,65.68
2017-07-28,68.78
2017-07-29,67.58
2017-07-30,74.2
2017-07-31,75.72
2017-08-01,79.27
2017-08-02,84.96
2017-08-03,81.46
2017-08-04,75.94
2017-08-05,67.08
2017-08-06,71.32
2017-08-07,75.63
2017-08-08,75.06
2017-08-09,76.37
2017-08-10,73.19
2017-08-11,71.28
2017-08-12,67.98
2017-08-13,65.15
2017-08-14,62.9
2017-08-15,64.03
2017-08-16,70.85
2017-08-17,69.78
2017-08-18,71.32
2017-08-19,68.19
2017-08-20,67.16
2017-08-21,72.2
2017-08-22,70.54
2017-08-23,68.53
2017-08-24,67.52
2017-08-25,66.66
2017-08-26,72.24
2017-08-27,71.62
2017-08-28,74.47
2017-08-29,70.13
2017-08-30,66.03
2017-08-31,67.78
2017-09-01,75.0
2017-09-02,74.74
2017-09-03,75.94
2017-09-04,74.75
2017-09-05,73.3
2017-09-06,69.84
2017-09-07,74.28
2017-09-08,67.62
2017-09-09,70.92
2017-09-10,70.07
2017-09-11,72.7
2017-09-12,74.66
2017-09-13,62.24
2017-09-14,61.74
2017-09-15,60.71
2017-09-16,62.96
2017-09-17,57.84
2017-09-18,58.52
2017-09-19,57.85
2017-09-20,52.28
2017-09-21,53.08
2017-09-22,56.35
2017-09-23,58.7
2017-09-24,58.46
2017-09-25,61.35
2017-09-26,64.78
2017-09-27,69.98
2017-09-28,66.66
2017-09-29,58.22
2017-09-30,52.83
2017-10-01,54.75
2017-10-02,52.84
2017-10-03,59.02
2017-10-04,56.42
2017-10-05,53.76
2017-10-06,55.59
2017-10-07,56.65
2017-10-08,51.3
2017-10-09,53.57
2017-10-10,48.86
2017-10-11,49.83
2017-10-12,49.82
2017-10-13,47.26
2017-10-14,47.1
2017-10-15,49.64
2017-10-16,51.86
2017-10-17,52.08
2017-10-18,59.04
2017-10-19,52.96
2017-10-20,51.66
2017-10-21,52.7
2017-10-22,55.12
2017-10-23,56.72
2017-10-24,57.39
2017-10-25,52.44
2017-10-26,60.22
2017-10-27,58.27
2017-10-28,55.1
2017-10-29,49.1
2017-10-30,55.54
2017-10-31,48.38
2017-11-01,48.81
2017-11-02,50.76
2017-11-03,44.87
2017-11-04,40.08
2017-11-05,47.3
2017-11-06,46.38
2017-11-07,40.92
2017-11-08,42.12
2017-11-09,48.69
2017-11-10,49.75
2017-11-11,51.71
2017-11-12,54.2
2017-11-13,48.82
2017-11-14,49.4
2017-11-15,48.12
2017-11-16,44.4
2017-11-17,43.47
2017-11-18,36.3
2017-11-19,42.54
2017-11-20,49.66
2017-11-21,54.03
2017-11-22,57.84
2017-11-23,52.86
2017-11-24,45.72
2017-11-25,39.16
2017-11-26,49.77
2017-11-27,44.54
2017-11-28,42.67
2017-11-29,44.2
2017-11-30,41.54
2017-12-01,46.43
2017-12-02,42.32
2017-12-03,40.67
2017-12-04,39.38
2017-12-05,40.86
2017-12-06,48.58
2017-12-07,39.65
2017-12-08,35.11
2017-12-09,33.31
2017-12-10,33.79
2017-12-11,32.64
2017-12-12,31.9
2017-12-13,35.94
2017-12-14,36.07
2017-12-15,33.59
2017-12-16,36.12
2017-12-17,41.74
2017-12-18,46.41
2017-12-19,44.82
2017-12-20,37.94
2017-12-21,28.44
2017-12-22,35.81
2017-12-23,36.62
2017-12-24,32.46
2017-12-25,41.28
2017-12-26,32.66
2017-12-27,41.28
2017-12-28,45.38
2017-12-29,51.86
2017-12-30,46.28
2017-12-31,35.78
2018-01-01,35.64
2018-01-02,37.96
2018-01-03,40.03
2018-01-04,40.05
2018-01-05,46.19
2018-01-06,40.92
2018-01-07,40.93
2018-01-08,40.11
2018-01-09,46.68
2018-01-10,44.52
2018-01-11,52.69
2018-01-12,50.92
2018-01-13,47.7
2018-01-14,41.68
2018-01-15,43.57
2018-01-16,48.33
2018-01-17,51.2
2018-01-18,46.22
2018-01-19,43.49
2018-01-20,42.94
2018-01-21,43.7
2018-01-22,43.33
2018-01-23,43.76
2018-01-24,45.13
2018-01-25,41.58
2018-01-26,42.0
2018-01-27,48.26
2018-01-28,53.32
2018-01-29,51.57
2018-01-30,44.74
2018-01-31,42.88
2018-02-01,45.56
2018-02-02,53.66
2018-02-03,52.87
2018-02-04,51.98
2018-02-05,48.91
2018-02-06,45.33
2018-02-07,46.94
2018-02-08,47.96
2018-02-09,45.14
2018-02-10,40.9
2018-02-11,38.03
2018-02-12,40.14
2018-02-13,37.86
2018-02-14,42.17
2018-02-15,40.84
2018-02-16,44.46
2018-02-17,47.13
2018-02-18,37.1
2018-02-19,36.22
2018-02-20,34.46
2018-02-21,34.58
2018-02-22,35.76
2018-02-23,31.08
2018-02-24,41.82
2018-02-25,39.59
2018-02-26,38.78
2018-02-27,37.5
2018-02-28,42.79
2018-03-01,40.66
2018-03-02,42.54
2018-03-03,39.66
2018-03-04,39.38
2018-03-05,43.8
2018-03-06,44.74
2018-03-07,42.14
2018-03-08,47.15
2018-03-09,45.04
2018-03-10,46.48
2018-03-11,50.61
2018-03-12,51.8
2018-03-13,50.22
2018-03-14,45.86
2018-03-15,42.04
2018-03-16,43.0
2018-03-17,44.3
2018-03-18,44.64
2018-03-19,42.9
2018-03-20,44.24
2018-03-21,45.28
2018-03-22,41.3
2018-03-23,38.72
2018-03-24,41.06
2018-03-25,41.68
2018-03-26,41.56
2018-03-27,48.73
2018-03-28,48.81
2018-03-29,48.6
2018-03-30,47.67
2018-03-31,50.88
2018-04-01,42.91
2018-04-02,42.93
2018-04-03,43.01
2018-04-04,53.27
2018-04-05,49.78
2018-04-06,61.32
2018-04-07,54.16
2018-04-08,48.48
2018-04-09,50.67
2018-04-10,54.12
2018-04-11,47.78
2018-04-12,45.04
2018-04-13,50.62
2018-04-14,52.81
2018-04-15,46.18
2018-04-16,44.45
2018-04-17,46.84
2018-04-18,50.26
2018-04-19,49.78
2018-04-20,51.0
2018-04-21,53.1
2018-04-22,49.9
2018-04-23,58.95
2018-04-24,63.6
2018-04-25,61.51
2018-04-26,58.88
2018-04-27,50.47
2018-04-28,52.53
2018-04-29,52.17
2018-04-30,51.08
2018-05-01,51.33
2018-05-02,55.12
2018-05-03,57.16
2018-05-04,57.01
2018-05-05,59.72
2018-05-06,56.67
2018-05-07,58.68
2018-05-08,58.4
2018-05-09,59.92
2018-05-10,53.8
2018-05-11,54.65
2018-05-12,61.3
2018-05-13,65.2
2018-05-14,66.63
2018-05-15,57.7
2018-05-16,59.92
2018-05-17,57.34
2018-05-18,57.28
2018-05-19,57.94
2018-05-20,57.02
2018-05-21,57.86
2018-05-22,64.88
2018-05-23,61.82
2018-05-24,63.14
2018-05-25,60.41
2018-05-26,53.78
2018-05-27,60.68
2018-05-28,60.14
2018-05-29,57.91
2018-05-30,53.7
2018-05-31,55.78
2018-06-01,54.5
2018-06-02,61.89
2018-06-03,60.02
2018-06-04,58.74
2018-06-05,54.94
2018-06-06,58.73
2018-06-07,60.4
2018-06-08,57.3
2018-06-09,54.74
2018-06-10,52.04
2018-06-11,60.25
2018-06-12,63.08
2018-06-13,57.34
2018-06-14,58.99
2018-06-15,60.1
2018-06-16,63.45
2018-06-17,72.4
2018-06-18,67.94
2018-06-19,69.03
2018-06-20,68.42
