datetime,AVG_TMP
2017-05-24,64.36
2017-05-25,60.24
2017-05-26,61.83
2017-05-27,67.77
2017-05-28,71.09
2017-05-29,71.83
2017-05-30,62.57
2017-05-31,66.1
2017-06-01,68.25
2017-06-02,64.5
2017-06-03,66.97
2017-06-04,60.87
2017-06-05,63.09
2017-06-06,66.99
2017-06-07,65.19
2017-06-08,59.68
2017-06-09,55.74
2017-06-10,50.14
2017-06-11,52.46
2017-06-12,57.95
2017-06-13,60.42
2017-06-14,57.73
2017-06-15,64.38
2017-06-16,66.04
2017-06-17,67.26
2017-06-18,73.26
2017-06-19,78.1
2017-06-20,72.74
2017-06-21,70.52
2017-06-22,71.88
2017-06-23,75.24
2017-06-24,80.12
2017-06-25,79.34
2017-06-26,74.72
2017-06-27,71.39
2017-06-28,68.38
2017-06-29,65.68
2017-06-30,70.54
2017-07-01,71.0
2017-07-02,71.67
2017-07-03,72.89
2017-07-04,76.34
2017-07-05,76.17
2017-07-06,76.52
2017-07-07,75.13
2017-07-08,74.63
2017-07-09,73.6
2017-07-10,71.7
2017-07-11,71.53
2017-07-12,71.4
2017-07-13,73.39
2017-07-14,75.32
2017-07-15,76.13
2017-07-16,70.96
2017-07-17,68.28
2017-07-18,69.35
2017-07-19,70.43
2017-07-20,69.05
2017-07-21,71.04
2017-07-22,73.54
2017-07-23,77.57
2017-07-24,77.98
2017-07-25,81.34
2017-07-26,80.24
2017-07-27,75.7
2017-07-28,74.47
2017-07-29,74.74
2017-07-30,74.74
2017-07-31,79.09
2017-08-01,83.02
2017-08-02,84.47
2017-08-03,83.86
2017-08-04,80.76
2017-08-05,72.62
2017-08-06,75.6
2017-08-07,80.68
2017-08-08,79.77
2017-08-09,78.08
2017-08-10,79.53
2017-08-11,77.84
2017-08-12,75.42
2017-08-13,68.96
2017-08-14,71.61
2017-08-15,67.82
2017-08-16,71.12
2017-08-17,74.61
2017-08-18,72.52
2017-08-19,68.38
2017-08-20,69.04
2017-08-21,67.58
2017-08-22,70.17
2017-08-23,76.31
2017-08-24,69.38
2017-08-25,68.2
2017-08-26,74.64
2017-08-27,73.11
2017-08-28,74.13
2017-08-29,75.46
2017-08-30,70.18
2017-08-31,69.18
2017-09-01,78.22
2017-09-02,78.04
2017-09-03,74.45
2017-09-04,74.14
2017-09-05,74.5
2017-09-06,72.88
2017-09-07,69.69
2017-09-08,71.78
2017-09-09,69.84
2017-09-10,70.14
2017-09-11,76.84
2017-09-12,71.54
2017-09-13,70.12
2017-09-14,63.86
2017-09-15,59.64
2017-09-16,61.6
2017-09-17,58.61
2017-09-18,57.84
