OPENET_ID,Acres,ACRES_FTR_GEOM,HUC8_name,HUC8,GRIDMET_ID,HUC12_name,HUC12,OWRD,Region,ITYPE,srctype,IRR_EFF
ORx_158924,2.575968412815073,2.570917353,Lost,18010204,573881,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158925,1.247341365831935,1.244763545,Lost,18010204,573881,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158926,2.302266838393673,2.300131067,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,3.0,0.0,0.5
ORx_158927,3.043014248808618,3.041120621,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158790,389.25550917252343,388.5708365,Lost,18010204,573879,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,2.0,0.5
ORx_158791,183.35008805878005,183.028958,Lost,18010204,573879,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,1.0,0.5
ORx_158766,207.8658805202424,207.5254237,Lost,18010204,573879,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,1.0,0.5
ORx_158765,209.8151932527245,209.5081995,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158787,229.35208288008616,228.9412545,Lost,18010204,573880,Swan Lake,180102040804,14,18.0,3.0,1.0,0.5
ORx_158768,142.53404235944723,142.3016643,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158767,133.76845044098982,133.5447748,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158769,82.76807970837433,82.63623679,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158794,19.18122553205166,19.15684415,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158772,118.66559480686607,118.4815919,Lost,18010204,573879,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,1.0,0.5
ORx_158771,108.86986464807278,108.6807317,Lost,18010204,573879,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,1.0,0.5
ORx_158763,138.30230025805196,138.0982664,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158783,13.97951904323227,13.93583562,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158762,113.25938096549459,113.0813753,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158770,99.80958529480844,99.64605054,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,0.0,0.5
ORx_158764,17.817159020237803,17.79437253,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158785,494.67856215509016,493.8841156,Lost,18010204,573880,Swan Lake,180102040804,14,18.0,3.0,1.0,0.5
ORx_158786,192.73790514714503,192.4116137,Lost,18010204,573880,Swan Lake,180102040804,14,18.0,3.0,1.0,0.5
